City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Barao De Melgaco,BR,79.14,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
466,Araguaina,BR,78.62,broken clouds,-7.1911,-48.2072,Hotel São Vicente
468,Bahadurganj,IN,81.55,clear sky,26.2667,87.8167,Usmania Cottage
470,Carutapera,BR,75.56,overcast clouds,-1.195,-46.02,Lidera
474,Santarem,BR,77.13,broken clouds,-2.4431,-54.7083,Hotel Imperador
475,Porto Nacional,BR,75.2,clear sky,-10.7081,-48.4172,Vila Real Hotel
478,Buchanan,LR,79.39,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
479,Bahia Honda,CU,75.45,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
482,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
485,Valdosta,US,76.95,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
488,Ilhabela,BR,73.24,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
495,Paragominas,BR,72.84,moderate rain,-2.9667,-47.4833,INOVA
496,Berbera,SO,83.34,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
497,Estelle,US,73.4,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
503,Spanish Town,JM,77.68,few clouds,17.9911,-76.9574,Shan's Cloud
506,Jucurutu,BR,79.38,overcast clouds,-6.0339,-37.0203,Pousada Miike
509,Vangaindrano,MG,73.02,overcast clouds,-23.35,47.6,Hotel Fanilo
510,Cape Canaveral,US,77.07,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
517,Vasai,IN,84.29,clear sky,19.47,72.8,Jivdani Kripa
519,Xai-Xai,MZ,70.21,broken clouds,-25.0519,33.6442,Complexo da Familia
523,Tikapur,NP,77.9,clear sky,28.5,81.1333,BANANA AGRO RESORT
526,Anloga,GH,82.18,broken clouds,5.7947,0.8973,Pin Drop Hotel
527,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
529,Puerto Leguizamo,CO,74.03,overcast clouds,-0.1934,-74.7819,la casona de juancho
535,Road Town,VG,77.09,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
540,Quelimane,MZ,71.17,scattered clouds,-17.8786,36.8883,Hotel Flamingo
545,Ugoofaaru,MV,84.7,overcast clouds,5.6667,73.0,Ungoofaaru Inn
547,Conceicao Da Barra,BR,74.44,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
549,Sambava,MG,71.47,broken clouds,-14.2667,50.1667,Melrose
556,Owando,CG,71.22,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
