City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Zdvinsk,RU,2022-04-22 23:46:25,54.7021,78.661,27.39,54,30,7.16
144,Angoche,MZ,2022-04-22 23:46:25,-16.2325,39.9086,76.44,91,100,18.99
145,Dzerzhinsk,RU,2022-04-22 23:46:26,56.2389,43.4631,39.02,64,0,0.0
146,Sedan,FR,2022-04-22 23:46:26,49.6667,5.0,49.42,78,42,10.58
147,Catamarca,AR,2022-04-22 23:46:27,-28.4696,-65.7852,69.78,68,45,1.34
148,Richards Bay,ZA,2022-04-22 23:46:27,-28.783,32.0377,69.42,91,78,3.36
149,Coihaique,CL,2022-04-22 23:46:28,-45.5752,-72.0662,44.55,93,100,5.75
150,Botad,IN,2022-04-22 23:46:28,22.1667,71.6667,84.34,35,2,8.37
151,Samoded,RU,2022-04-22 23:46:29,63.6083,40.5111,33.33,98,100,8.46
152,Winneba,GH,2022-04-22 23:46:29,5.3511,-0.6231,80.24,86,32,7.45
153,Luderitz,NA,2022-04-22 23:46:30,-26.6481,15.1594,59.34,79,0,17.02
154,Kangaatsiaq,GL,2022-04-22 23:46:30,68.3065,-53.4641,16.2,90,100,6.13
155,Inhambane,MZ,2022-04-22 23:46:31,-23.865,35.3833,71.87,79,100,3.98
156,Saint Andrews,US,2022-04-22 23:46:31,34.0454,-81.1293,80.38,50,40,8.05
157,Eenhana,NA,2022-04-22 23:46:32,-17.4667,16.3333,60.26,52,4,3.74
158,Veraval,IN,2022-04-22 23:46:32,20.9,70.3667,81.81,55,0,10.0
159,Ayagoz,KZ,2022-04-22 23:46:33,47.9714,80.4392,41.88,61,100,9.31
160,Maniitsoq,GL,2022-04-22 23:46:33,65.4167,-52.9,29.28,92,100,4.32
161,Arraial Do Cabo,BR,2022-04-22 23:46:33,-22.9661,-42.0278,75.79,82,0,8.01
162,Kembe,CF,2022-04-22 23:46:34,4.6228,21.8865,68.81,91,92,0.4
163,Kuminskiy,RU,2022-04-22 23:46:34,58.6667,66.5667,14.0,93,23,4.29
164,Itacarambi,BR,2022-04-22 23:46:35,-15.1022,-44.0919,77.41,53,49,1.92
165,Narsaq,GL,2022-04-22 23:46:35,60.9167,-46.05,44.82,95,100,4.18
166,Balsas,BR,2022-04-22 23:46:36,-7.5325,-46.0356,76.51,73,92,3.67
167,Aswan,EG,2022-04-22 23:46:37,24.0934,32.907,76.3,14,0,8.05
168,Nantucket,US,2022-04-22 23:45:53,41.2835,-70.0995,59.05,60,0,10.36
169,Severodvinsk,RU,2022-04-22 23:46:37,64.5635,39.8302,32.11,98,100,15.7
170,Stryn,NO,2022-04-22 23:46:38,61.9045,6.7226,47.12,74,68,4.81
171,Skjervoy,NO,2022-04-22 23:46:38,70.0311,20.9714,35.6,71,95,12.64
172,Bethanien,NA,2022-04-22 23:46:39,-26.502,17.1583,69.53,40,76,4.12
173,Orange Walk,BZ,2022-04-22 23:46:39,17.8333,-88.8333,75.72,85,19,5.12
174,Kidal,ML,2022-04-22 23:46:40,18.4411,1.4078,83.59,12,20,10.89
175,Kalmunai,LK,2022-04-22 23:46:40,7.4167,81.8167,77.67,86,85,5.5
176,Senanga,ZM,2022-04-22 23:46:41,-16.1167,23.2667,67.23,67,100,2.93
177,Kasane,BW,2022-04-22 23:46:41,-17.8167,25.15,65.84,76,89,4.21
