City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Jhang,PK,33.6748,72.6963,77.61,34,10,4.36,clear sky
324,Gorom-Gorom,BF,14.4439,-0.2361,84.58,16,19,9.22,few clouds
325,Uusikaupunki,FI,60.8004,21.4084,34.11,68,42,7.36,scattered clouds
326,Delaware,US,39.0004,-75.4999,60.04,91,100,4.61,overcast clouds
327,Alta,NO,69.9689,23.2717,20.46,79,75,16.11,broken clouds
328,Penzance,GB,50.1186,-5.5371,48.88,76,56,20.2,broken clouds
329,Bengkulu,ID,-3.8004,102.2655,79.97,81,33,3.87,scattered clouds
330,Yar-Sale,RU,66.8333,70.8333,34.16,99,100,21.65,light snow
331,Elbistan,TR,38.2059,37.1983,56.46,48,7,2.13,clear sky
332,Brae,GB,60.3964,-1.353,40.84,66,100,6.44,overcast clouds
333,Zdzieszowice,PL,50.4248,18.1235,43.29,88,100,3.13,overcast clouds
334,Aleksandrovka,UA,46.8383,32.7612,52.03,78,100,8.19,overcast clouds
335,San Andres,CO,12.5847,-81.7006,80.62,89,75,10.36,light intensity drizzle
336,Pavlodar,KZ,52.3,76.95,37.2,87,25,0.0,scattered clouds
337,Adrar,MR,20.5022,-10.0711,69.51,36,0,10.36,clear sky
338,Meulaboh,ID,4.1363,96.1285,77.32,80,100,3.18,overcast clouds
339,Neuquen,AR,-38.9516,-68.0591,51.69,43,0,9.22,clear sky
340,Mandali,IQ,33.7499,45.5541,75.6,40,94,5.01,overcast clouds
341,Constantine,DZ,36.365,6.6147,56.61,76,0,2.3,clear sky
342,Vuktyl,RU,63.8567,57.3094,37.09,96,100,8.16,light rain
343,Kachiry,KZ,53.0675,76.1036,47.1,62,81,5.53,broken clouds
344,Arroyo,ES,41.6096,-4.7969,52.59,89,40,4.61,scattered clouds
345,Ponta Do Sol,PT,32.6667,-17.1,61.72,61,0,2.84,clear sky
346,Januaria,BR,-15.4833,-44.3667,71.73,56,0,3.85,light rain
347,Henties Bay,NA,-22.116,14.2845,63.54,70,5,6.02,clear sky
348,Kanniyakumari,IN,8.0833,77.5667,82.44,81,24,1.77,few clouds
349,Yuzhne,UA,46.6221,31.1013,51.6,81,98,9.04,overcast clouds
350,Marabba,SD,12.35,32.1833,90.12,20,68,3.62,broken clouds
351,Teguise,ES,29.0605,-13.564,59.22,77,0,14.97,clear sky
352,Defiance,US,41.3334,-84.45,43.07,71,7,9.22,clear sky
353,Altamira,BR,-3.2033,-52.2064,73.22,98,100,1.54,moderate rain
354,Pertuis,FR,43.6925,5.5028,52.95,77,7,1.23,clear sky
355,Longyearbyen,SJ,78.2186,15.6401,-0.56,71,40,10.36,scattered clouds
356,Oistins,BB,13.0667,-59.5333,77.09,88,40,4.61,scattered clouds
357,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,75,13.8,broken clouds
358,Sur,OM,22.5667,59.5289,85.23,44,79,11.1,broken clouds
359,Tirlyanskiy,RU,54.2109,58.5806,44.92,85,100,5.95,overcast clouds
360,Rehoboth,NA,-23.3167,17.0833,61.14,43,5,2.04,clear sky
361,Hit,IQ,33.6416,42.8251,70.43,51,9,6.55,clear sky
362,Zhob,PK,31.3411,69.4481,68.54,18,6,2.26,clear sky
363,Jurado,CO,7.1053,-77.7641,78.62,85,100,0.72,overcast clouds
364,Tammisaari,FI,59.9736,23.4339,32.9,66,33,7.05,scattered clouds
365,Balkanabat,TM,39.5108,54.3671,70.3,51,100,15.82,overcast clouds
366,Saint-Francois,FR,46.4154,3.9054,42.67,87,0,0.0,clear sky
367,Wezembeek-Oppem,BE,50.8395,4.4943,45.21,86,0,2.3,clear sky
368,Belyy Yar,RU,53.6039,91.3903,39.09,52,0,4.47,clear sky
369,Sechura,PE,-5.5569,-80.8222,70.03,77,10,14.7,clear sky
370,Molchanovo,RU,57.5817,83.7692,40.28,70,62,5.21,broken clouds
371,Saint-Augustin,CA,51.226,-58.6502,34.48,97,100,8.05,light snow
372,Guane,CU,22.2025,-84.0875,76.05,70,4,1.92,clear sky
373,Banda Aceh,ID,5.5577,95.3222,81.21,85,100,7.0,overcast clouds
374,Garango,BF,11.8,-0.5506,90.61,28,88,6.13,overcast clouds
375,Hurghada,EG,27.2574,33.8129,73.27,47,0,15.79,clear sky
376,Aguadilla,PR,18.4275,-67.1541,77.36,78,75,17.27,broken clouds
377,Kolyvan,RU,55.3053,82.7391,38.82,61,7,3.53,clear sky
378,Arenzano,IT,44.4052,8.6832,60.64,93,20,4.0,few clouds
379,Villazon,BO,-22.0866,-65.5942,53.26,8,34,8.39,scattered clouds
380,Ichnya,UA,50.8626,32.3942,48.36,92,99,8.86,overcast clouds
381,Oudtshoorn,ZA,-33.5907,22.2014,51.51,89,0,2.53,clear sky
382,Pangnirtung,CA,66.1451,-65.7125,-9.83,86,14,8.46,few clouds
383,Villefranche-De-Rouergue,FR,44.3333,2.0,52.03,75,23,3.69,few clouds
384,Tabou,CI,4.423,-7.3528,79.11,85,100,4.97,light rain
385,Mayahi,NE,13.9553,7.6712,85.1,13,7,7.92,clear sky
386,San Luis,AR,-33.295,-66.3356,67.06,18,1,13.44,clear sky
387,Matay,EG,28.419,30.7792,70.39,31,0,14.34,clear sky
388,Emba,KZ,48.8264,58.1442,50.97,48,14,5.26,few clouds
389,Volgodonsk,RU,47.5136,42.1514,59.29,84,72,4.74,broken clouds
390,Murree,PK,33.9073,73.393,58.24,38,9,8.79,clear sky
391,Kochki,RU,54.3358,80.4806,45.16,52,0,4.54,clear sky
392,Kapoeta,SS,4.7717,33.5903,76.8,65,92,4.92,overcast clouds
393,Macamic,CA,48.7502,-78.9996,26.29,80,100,8.37,light snow
394,Waw,SS,7.7029,27.9953,79.88,41,21,4.7,few clouds
395,Ust-Kan,RU,50.9276,84.761,37.81,65,13,3.85,few clouds
396,Moyo,UG,3.6609,31.7247,66.69,92,100,2.86,overcast clouds
397,Humaita,BR,-7.5061,-63.0208,76.68,93,92,1.43,overcast clouds
398,Cap Malheureux,MU,-19.9842,57.6142,73.47,80,13,3.0,few clouds
399,Muzaffarabad,PK,34.37,73.4711,67.6,50,0,6.35,clear sky
400,Zapresic,HR,45.8564,15.8078,50.88,96,98,5.79,light rain
401,Port Blair,IN,11.6667,92.75,80.64,89,75,2.3,mist
